token,lemma
республикасының,республика
Қазақстан,қазақстан
халқы,халық
Ассамблеясының,ассамблея
мүшесі,мүше
ретінде,рет
былтыр,былтыр
еліміз,ел
маңызды,маңызды
саяси,саяси
оқиға,оқиға
сессиясына,сессиясы
қатысу,қатыс
құрметіне,құрмет
болдым,болдым
Мемлекет,мемлекет
басшысы,басшы
жалпыұлттық,жалпыұлт
көшбасшымыз,көшбасшы
Н.Ә.Назарбаевтың,н.ә.назарбаев
ауқымды,ауқым
мағыналы,мағына
баяндамасынан,баяндама
ұмытылмастай,ұмытылмас
әсер,әсер
алдым,алдым
деп,деп
хабарлады,хабарлама
Байланыс,байланыс
ақпарат,ақпарат
министрлігі,министрлік
Ақпарат,ақпарат
мұрағат,мұрағат
комитетінің,комитет
басылымдық,басым
БАҚ,бақ
басқармасының,басқарма
баспасөз,баспасөз
қызметінен,қызмет
Әл-Ганзури,әл-ганзур
билікке,билік
күрделі,күрделі
жағдайда,жағдай
келіп,келіп
отыр,отыр
Елде,ел
әскерилерге,әскер
қарсы,қарсы
екінші,екі
революция,революция
басталып,баста
айтарлықтай,айтарлық
қантөгіске,қантөгіс
соқтырды,соқтыр
Халық,халық
пен,пен
әскери,әскер
хунтаның,хунтан
қайта,қайта
тіл,тіл
табысуы,табыс
Әл-Ганзуридің,әл-ганзур
әскерилердің,әскер
адамы,адам
ретінде,рет
әрекет,әрекет
етуінің,ету
болашағы,болашақ
бағдарламасымен,бағдарлама
белгілі,белгілі
дәрежеде,дәреже
әскери,әскер
топқа,топ
оппонент,оппонент
ретінде,рет
көрінсе,көр
халықтың,халық
қолдауына,қолдау
болады,болады
Бұған,бұған
мерекеге,мерек
орай,орай
наурызда,наурыз
Қазақстан,қазақстан
Ресей,ресей
Әзірбайжан,әзірбайжан
Иран,иран
Өзбекстан,өзбекстан
Тәжікістан,тәжікістан
және,және
Түркияның,түркия
Египеттегі,египет
елшіліктерінің,елші
қызметкерлері,қызметкер
студенттерінің,студент
қатысуымен,қатысу
мини-футболдан,мини-футбол
жарыс,жарыс
ұйымдастырылды,ұйымдастыру
Бір,бір
сөзбен,сөз
айтқанда,айт
Отанымыздың,отан
соғыс,соғыс
ардагерлері,ардагер
мүгедектері,мүгедекте
алдында,алды
