Language,Source,Date,Text
Kazakh,akorda.kz,2011/09/19,Келіссөздердің қорытындысы бойынша кездесуде талқыланған барлық мәселе көрініс тапқан Бірлескен декларация қабылданды.
Kazakh,egemen.kz,2010/01/29,департамент (республикалық меншік) 140
Kazakh,egemen.kz,2010/06/12,"Сарыарқа саған таңда сәлем берем,"
Kazakh,inform.kz,2010/07/28,Ынтымақтастық екі құжат - Беларус пен Қазақстанның екіжақты сауда-экономикалық ынтымақтастығын дамыту жол картасы мен Қазақстанның индустрияландыру картасы негізінде жүзеге асырылуда.
Kazakh,egemen.kz,2011/12/08,"Құрылыс мамандарының айтуына қарағанда, бұл Қазақстан аумағындағы әсем ғимараттардың қатарын толықтырмақ. «Мешіттің құрылыс материалдарының түрлері 11 елден әкелінгенімен, көбіне отандық құрылыс материалдарын пайдалануға ұмтылдық. Ал арнайы технологиялық құрал-жабдықтар Франция, Италия, Жапониядан тасымалданды. Болашақта өзіндік сән-салтанатқа ие осындай нысандар жобасын жүзеге асыра береміз деген ойдамыз», – деді жоба жетекшісі Шефик Искендероғлы."
Kazakh,1tv.kz,2012/01/27,"Бүгінге дейін мыңдаған алматылық тұрғын осы алаяқтықтың құрбанына айналды. Олардың компьютерлері істемей, іске қосу үшін айыппұл төлеу қажеттігі туралы хабарламалар келген."
Kazakh,inform.kz,2011/01/26,"- 20 жыл ішінде қанша хабар жасадыңыз? Ойыңызда, көңіліңізде жүрген барлық өнер адамдарын қамтыдым деп ойлайсыз ба?"
Kazakh,egemen.kz,2012/03/07,"Асыл тұқымды шаруашылықтарда бұл тұқыммен жүргізілетін селекциялық зерттеулер малдың тез жетілгіштігі мен өсу қарқынын арттыруға бағытталған. Тұқымның генеалогиялық құрылымында қазіргі кезде 12 зауыттық із басы бар, оның 6-уы жаңа."
Kazakh,egemen.kz,2010/07/19,"2) Қазақстан Республикасында тіркелмеген дәрілік заттарды, медициналық мақсаттағы бұйымдарды сатып алу жағдайларын қоспағанда, дәрілік заттардың, медициналық мақсаттағы бұйымдардың Қазақстан Республикасында тіркелгенін және олардың осы Ереженің 12-тармағында көзделген талаптарға сәйкестігін растайтын құжаттарды сұрайды."
Kazakh,inform.kz,2011/10/19,"Бұл стратегия әскери ғылымды одан әрі дамыту басымдықтарын айқындап, оны жүзеге асыру шараларын қарастырады."
Kazakh,egemen.kz,2010/06/26,"Республикамыздың геология-барлау саласының ардагері, Қазақ КСР Мемлекеттік сыйлығының лауреаты, Қазақ КСР-інің еңбек сіңірген геолог-барлаушысы, Атырау облысының құрметті азаматы, геология-минералогия ғылымының кандидаты, аса қадірлейтін аға буын жолдасымыз Жұмағалиев Таумыш Нұрышұлының бұл өмірден өткендігі туралы қайғылы хабар келіп, бәріміздің қабырғамызды қайыстырды."
Kazakh,egemen.kz,2008/09/27,"Ассамблеяның қорытындысында ДТҰ Атқарушы Кеңесінің құрамына Қазақстанда сайланып, 30 туристік державаның қатарына кірді."
Kazakh,zhasalash.kz,2009/12/29,"– Бiзде ескерiлмей жүрген бiр мәселе бар. Оны мен өз кiтаптарымда жазып жүрмiн. Қазақстанда 270 миллион гектар жер болса, 180 миллионы шөл және шөлейт аймақтар. Ғылымда ол жерлердi өмiр сүруге қолайсыз аймақ ретiнде атайды. Дамыған елдерде ондай жерде қоныстанған халыққа 200-250 пайыздық үстеме есебiнде қосымша пұл төлейдi. Ал бiзде оны ескерiп жатқан ешкiм жоқ. Қазақстандағы орыстар мен қазақтарды салыстырғанда орыстардың өмiр сүру жасы, денсаулық жағдайы әлдеқайда жоғары. Себебi, ең құнарсыз жерлерде қоныстанғандар қазақтар. Қазақты iздесең Қазақстанның 65 пайыз шөлейт аймағына бар. Ол жерлерде не таза ауа, не таза су жоқ. Жақында “ел бiрлiгi” доктринасына қарсы шыққан топ билiкке өз дегенiн орындата алды. Яғни, билiктi халықтың пiкiрiмен санасуға мәжбүрледi. Ендi сол топ мына жер мәселесiнде де белсендiлiк танытуы керек. Қытайды кiргiзуге болмайды. Қытайдан тибет пен ұйғырлардың көрген қорлығы бәрiне белгiлi. Оған жол бермеуге тиiспiз."
Kazakh,egemen.kz,2008/11/25,"Сондай-ақ, Жамбыл облысы әділет департаментінің берген мәліметтері бойынша облыс әкімдігінің ішкі саясат департаменті директорының орынбасары Б. Жанқараев “Қара Нар” ЖШС-ның құрылтайшысы болып көрсетілген. Осылайша, осы жоспарлы тексеруде Б. Жанқараевтың құрылтайшылар қатарынан шығу рәсімдері тиісті тәртіппен тіркелмегені, аталған коммерциялық ұйымдағы өзінің үлесін заңда белгіленген тәртіппен сенімді басқаруға бермегені анықталды. Тәртіптік кеңестің тиісті ұсынысына сәйкес облыс әкімдігі ішкі саясат департаменті директорының орынбасары Б. Жанқараев коммерциялық ұйымдағы өзінің үлесін тиісті тәртіппен рәсімдемегені үшін Қазақстан Республикасы “Мемлекеттік қызмет туралы” Заңының 28-бабы 1-тармағы 5) тармақшасына сәйкес атқаратын қызметінен босатылды."
Kazakh,1tv.kz,2012/01/06,"Маныш – бүгінде 5 бала тәрбиелеп өсірген, Ұлы Отан соғысына қатысқан азаматтың жесірі. Ол кезінде сауыншы болып жұмыс істеген. Қажырлы еңбегі үшін Еңбек Қызыл Ту орденімен марапатталған."
Kazakh,egemen.kz,2009/12/16,"Тәрбиелеп, саналы ұрпақ өсіріп,"
Kazakh,zhasalash.kz,2012/03/20,"– Иә, ол кезде ел басқарған адамдарға бiлiкпен қатар, бiлек те керек болған. “Суворов қолтоқпақтай ғана кiсi болған ғой, Абылай ханның бойы да 157 см болса болған шығар...” дейдi кейбiр әрiптестерiм. Суворовтың заманы бөлек қой. Суворовтың заманы – от қарудың (зеңбiректiң, мылтықтың, мүшкеттiң) заманы. Суворовқа штабта отырып, карта сызып, өз әскерiнiң стратегиялық бағытын белгiлеп берсе, бiтiп жатыр. Ал Абылайдың заманында Абылай ханға әр адым басқан сайын бiлек күшi керек, қажет боп отырған. “157 см” дегенмен келiспейтiнiм де сол. Бұл – Абылай ханды қорлау, оның сүйегiн қорлау."
Kazakh,egemen.kz,2008/12/13,"Өткен сәрсенбіде осы болат балқыту бойынша әлемдегі №1 компания болып табылатын көшбасшы “АрселорМиттал” компаниясының Қазақстандағы еншілес компаниясы “АрселорМиттал Темиртау” бас директоры Франк Паннир, компания металлургия комбинаты кәсіподақ ұйымының жетекшісі Владимир Дубин, “Қорғау” кәсіподақ ұйымының төрағасы Марат Миргаязов мырзалардың қатысуымен Астанадағы ұлттық баспасөз үйінде журналистерге арналған баспасөз мәслихаты өтіп, онда дағдарыс ауыртпалықтарын еңсеру, жұмыс орындарын сақтау, жұмысшылардың әлеуметтік жағдайларын қорғау бағытында қазақстандық еншілес компанияның атқарып жатқан жұмыстары баян етілді."
Kazakh,egemen.kz,2011/05/07,"– Еліміздің Қарулы Күштері тәуелсіздігімізбен бірге өсіп, қуат алып келеді. Оның құрылуына, ары қарай дамуына дем беріп келе жатқан Президентіміз Нұрсұлтан Назарбаев екені баршаға аян. Осы ретте еліміз тәуелсіздік алған алғашқы жылдары қаншалықты қиындықтарды басынан өткерсе, олардың қорғаныс саласын да айналып өтпегені түсінікті. 1992-1993 жылдары басталған ауыртпалықтар әскерилерге де салмақ салды."
Kazakh,bnews.kz,2009/07/15,"Жер қатынастары саласындағы мәселелерге тоқталған ол, «бір жарым жылдың ішінде бұл салада біз 31 қылмыстық іс қозғадық. 100-ден астам жемқорлық тұрғысында құқық бұзушылықтың беті ашылды», деді."
Kazakh,egemen.kz,2008/10/22,"– Талдықорған қаласында азық-түлік жәрмеңкесінің ұйымдастырылуы бізге көп көмек. Көп қабатты үйде тұрамын. Орталық базардағы бағамен мұндағы бағаның айырмашылығы көп. Өзім жыл сайын қысқа қажетті жеміс-жидек, көкөніс, тағы басқа азық-түлік түрлерін арзан бағаға осы жерден сатып аламын. Осы істі ұйымдастырған басшыларға рахмет айтамыз. Дегенмен, баға кейде құбылып тұрады. Осы жағы қатаң қадағаланса, ұйымдастыруда еш кемшілік болмас еді, дейді ол."
Kazakh,egemen.kz,2008/11/05,"Айтбай ақынның аренаға қайта шығуы да осы кез. Аудан, облыс ақындары өзара айтысқанда оңтүстік өңірінен Айтбай ақын шығады. Қан майданда Батыр атанып қыршын кеткен Темірбек Ибрагимов ерлігін дастан етіп жазды. Сейтқасым Әшіров Батыр атағын алып ерлікпен оралғанда, дастанға айналдырған тағы да Айтбай ақын."
Kazakh,kaz.gazeta.kz,2012/02/29,"Шығыс Қазақстан облысы Сот актілерін орындау департаменті бірлескен рейд шараларын өткізу тәжірбиесін былтырдан бері қолға алып отыр. Мәселен, 2011 жылы заңды және жеке тұлғалардан коммуналдық кәсіпорындардың берешегін өндіру бойынша жарияланған акция барысында 2 722 атқару парағы орындалып, 58 млн. теңге қаржы өндірілді."
Kazakh,egemen.kz,2012/03/17,"Бұл туралы ҚазАқпаратқа белгілі түркітанушы қазақ ғалымы, көркемсөзші Әбулақап Қара Түркиядан хабарлады."
Kazakh,inform.kz,2011/04/13,"«Егемен Қазақстан» басылымы бүгінгі санында ""Басым міндеттер атап өтілді"" деген тақырыппен мақала басты. Онда Ішкі істер министрлігінің жаңа басшысы таныстырылғаннан кейін Елбасы өткізген мәжілісте көтерілген мәселелер жазылған. «Президенттің Жарлығымен генерал-майор Қалмұханбет Қасымов Ішкі істер министрі болып тағайындалды. Құқық қорғау ведомствосының қызметкерлеріне жаңа Ішкі істер министрін таныстыра отырып, Президент полиция және ішкі әскер қызметкерлеріне жақсы жұмыстары үшін алғысын айтып, басым міндеттерді атап өтті», - делінген мақалада."
Kazakh,kaz.gazeta.kz,2012/03/16,"Анықтама алу мерзімі 7 жұмыс күнінен 3 күнге дейін қысқартылған, делінген онда."
Kazakh,1tv.kz,2011/12/06,"Қатты соққыдан жол сақшысы оқиға болған жерде көз жұмды. Тағы бір адам ауыр халде ауруханаға жеткізілді. Куәлардың айтуынша, жол апаты аяқасты орын алыпты. “Лексус” көлігін тоқтатқан сақшы құжаттарын тексеру үшін жүргізушіге жақындаған. Сол сәтте қарсы бағытта қатты жылдамдықпен келе жатқан “БМВ” жол сақшысы мен “Лексус” көлігінің жүргізушісін қағып кеткен."
Kazakh,egemen.kz,2011/09/03,Бір ару көрдім көшеде.
Kazakh,inform.kz,2010/08/11,"Ұйымға төрағалық ету Қазақстан халқының бірлігін нығайтып, патриотизмін арттыра түседі. Төрағалыққа дайындық барысында қолға алынған ""Еуропаға жол"" мемлекеттік бағдарламасын жүзеге асыру тәуелсіз Қазақстанның дамуындағы сапалық жаңа белес болатындығы талас тудырмайды."
Kazakh,egemen.kz,2011/09/23,"Содан қайда жүрсем де бәрібір емес пе деп екі жылдан соң, Принстон университетінің магистратурасына түстім. Сонда сізбен тағы бір жолыққан едік. Сіз мені Принстондағы достарыңызбен таныстырған болатынсыз. Мен олармен жақсы қарым-қатынаста болдым. Достарыңыздың бәрінің діні берік, екі сөйлемейтін, уәдені қаза қылмайтын адал адамдар екен."
Kazakh,egemen.kz,2010/11/18,"Аймақтық форумда өзара пікір алмасқан сарапшылар билік пен Үкіметтік емес ұйымдар өкілдері бұл бағыттағы атқарылған іс-шаралардың ықпалдылығы, сондай-ақ өз шешімін таппаған мәселелер төңірегінде де ой қозғады. Анығырақ айтқанда, өз мемлекеттеріндегі билік құрылымы мен қоғам арасындағы қарым-қатынастың дамуы, қоғамдық бірлестіктерді мемлекеттік қаржыландыру, заң жобаларына дайындық және өзге де жәйттер кеңінен талқыланды. Әсіресе, шетелдік қонақтардың Қазақстанның іс басындағы төраға ретінде ЕҚЫҰ кеңістігіндегі және өз елінің ішіндегі белсенді рөлі туралы атап айтуы көпшілік қолдауына ие болды. Ал, енді сарапшылардың пікірінше, мұның, анығырақ айтқанда, осындай үлкен әрі мазмұнды жұмыстың жоғары талапқа сай келуі республикада азаматтық қоғаммен ашық үнқатысу саясатының одан әрі жалғаса түсуінде жатса керек. Мәселен, биылғы 2010 жылы ҚР Сыртқы істер министрлігі жанынан ЕҚЫҰ-ның адам өлшемі бойынша консультативтік кеңес құрылды және қазірде белсенді түрде жұмыс істеуде. Консультативтік кеңестің құрамына мемлекеттік органдар мен үшінші сектордың, сондай-ақ АҚШ, Ұлыбритания, Германия, Нидерланды және басқа елдердің халықаралық сарапшылары енген."
Kazakh,zhasalash.kz,2011/03/18,"Бүгiнгi таңда да басылым жастардың бойында патриоттық сезiмнiң нық қалыптасуына айтарлықтай атсалысып келедi. Өзектi мәселелерде “ақты” ақ, “қараны” қара деп аражiгiн ашық ажыратып айтатын батыл басылым кейiнгi жерде де оқырманның сенiмдi серiгi бола берсiн."
Kazakh,egemen.kz,2010/03/20,"Біз өкпеге қисақ та, өлімге қимайтын ағайынбыз дегенді жиі айтамыз. Ал мен осынау орны толмас өкінішке айнала жаздаған шетін жайды еске ала отырып “Ажал сенің қас-қабағыңа қарамайды, қисаң да, қимасаң да дымыңды басып тынады. Қимасаң – өкпеге қима. Өкпеге қиғаның – өлімге қиғаның. Тіршілікте сыйласпасаң, өлгенде салған топырағың – бұйыртпасың бұйыртса, бұйырады екен”, демекпін. Соның өзгелерге де тәлімі тисе екен деген сақтық тілегімен де осы жолдарды жазып отырмын."
Kazakh,egemen.kz,2012/02/15,"Елордалық депутат Тұрсынбек Өмірзақов өз кезегінде АҚШ сарапшыларының сөзіне сүйене отырып, еліміздің ең бай елдердің қатарына өтетіндігін жайып салды. Мұндай межеге еліміз жыл сайын экономикасының 7,5 пайыздық өсуімен жақындай түсуде. Ішкі жалпы өнімді әрбір қазақстандыққа шаққанда 11 мың АҚШ долларына жеткен. Жолдаудың басты ерекшелігі де сол, экономика мен әлеуметтік саланың тепе-теңдігін қалыптастыру жолға қойылған. Экономикаға қанша қаржы бағыттап, әлеуметтік саланың дамуына серпін беру қажет. Осы басты ұғым Жолдаудың басым бағыты болып табылады. Он міндеттің төртеуі экономикаға тиесілі болса, қалған алтауы әлеуметтік аспектіге құрылған."
Kazakh,inform.kz,2011/01/26,Жаңа өндіріс басталған істің жалғасы болады - «АгромашХолдинг» компаниясы Қостанай облысында «Ssang Yong» оңтүстіккореялық көлікті құрастыруды бұрыннан жүзеге асырып келеді.
Kazakh,inform.kz,2011/08/10,"Қасиетті Құранда «хиджаб» сөзі бар болғаны төрт рет қана пайдаланылған. Атап айтқанда, «әл-Әғраф» сүресінің 46-аятында: «Олардың (Жұмақ пен тозақтың) арасында хиджаб (қоршау) болады» делінсе, «Фуссылат» сүресінің 5-аятында: «Олар (әлі ислам дінін қабылдамаған Мекке тұрғындары) былай дейді (Пайғамбарымыз Мұхаммедке): «Біздің жүрегіміз сен бізді шақырған үндеулер үшін жабық, біздің құлағымыз таскерең болып қалды, сенімен біздің арамызда - хиджаб (шымылдық) орнаған. Еңбек етсеңші және біз де еңбектенетін боламыз». Аш-Шура сүресінің 51-аятында: «Адам Алланың онымен ашық түрде немесе хиджаб (бүркеу), (шымылдық) арқылы сөйлесуіне лайықты емес. Немесе Ол (Алла) жаушы жіберу арқылы Ол өзі қалайтын ашық әңгімеге Оның өзі қалайтын дәрежеде сөйлесуге ғана мүмкіндігі бар»."
Kazakh,1tv.kz,2011/12/21,"Наурыз айынан бері аталған елде жаппай шерулер болып жатыр. Наразы топ елдегі реформаның түбегейлі өзгеріп, қазіргі Президент Башар Асадтың тақтан кетуін талап етуде. Батыс елдері шерушілерді басып-жаншығаны үшін Асадты айыптап отыр. Соңғы мәліметтер бойынша, қақтығыстар кезінде 5 мыңнан аса адам өлген."
Kazakh,kaz.gazeta.kz,2012/03/05,Оңтүстік Қазақстан облысында бұрын су басқан ауылдардан эвакуацияланған тұрғындар өз үйлеріне оралды.
Kazakh,egemen.kz,2011/01/28,«Нұр Отан» ХДП Төрағасының бірінші орынбасары Нұрлан Нығматулин конференцияда облыстық филиалдың жалпы жұмысына оң бағасын берді.
Kazakh,1tv.kz,2011/12/13,"Оның айтуынша, осы жылдың аяғына дейін әзірге азаматтық алмаған екі мыңға жуық оралмандарға ЖСН-ді тағайындау бойынша барлық мәселелерді қарастыру қажет."
Kazakh,egemen.kz,2008/12/24,"Жалпы адамзаттық социумды шайқалтпай дамыту үшін оны түзіп тұрған әлеуметтік, этникалық, өркениеттік түзілімдерді бір-біріне айдап салып, өзара атыстырып-шабыстырмай, жарыстыра, жарастыра дамыту керек еді. Оны атомдық, молекулалық дәрежеге дейін ыдыратып барып, қайтадан жаңаша қалыптастыра аламыз деушілік ақылға сыймас мәңгінің қиялы еді. Тарихи тамырларды шынықтырып, кемелдендірудің орнына қолдан қыспақтап, аямай отап бағуға тырысу қапталдан анталасқан арамза тамырлардың аянбай бас көтеруіне әкеліп ұрындырады. Бірақ, олар табиғи тамырлардың қорегіне қол сұғатын қомағайлық пен көрсебасарлық арқылы өркендейтін."
Kazakh,egemen.kz,2010/12/22,"Рас, Қазақ елінің мәртебесі асқақтады. Әлем Астанаға таңдана да, таңғала да қарады. Әлі де қарап тұр. Ендеше, туған елдің мәртебесі асқақтай берсін, бағымыз жана түссін деп тілейік!"
Kazakh,egemen.kz,2008/09/30,"Қазақстан сыртқы саясат ведомствосының басшысы келесі кезекте табиғи апаттар әкелетін салдарға тоқталды. Бұл бағытта да халықаралық ынтымақтастықты белсенді ете түсу қажет. Астана төтенше жағдайлардың алдын алу мен салдарын жою бойынша күш біріктіре жұмыс істейтін Орталықазиялық үйлестіру орталығы үлгісіндегі ұлттық және өңірлік тұғырнамалар құру жөніндегі ынтымақтастықты қолдайды, деді ол. Сонымен қатар теңізге шығатын жолдары жоқ елдерге нақты көмек көрсету ісі бойынша нақты шешім қабылданады деп сенетінін білдірді."
Kazakh,inform.kz,2011/09/23,"""Қазіргі таңда кейбір халықаралық ұйымдар Астана бастамасына кіретін ілкі жобаларды қолдауға дайын. Бұл бастама сөз жоқ РИО-20 саммитінде талқыланады, талқыланып қана қоймай ол бойынша нақты жобалар да ұсынылады деген ойдамын. Жалпы «Жасыл көпір» бағдарламасының мән-маңызы «жасыл» технологиялар Еуропадан Азия елдеріне көшіп, осы өңірдің климаттық жағдайларына қоршаған ортаны ластамайтындай болып бейімделуі керек. Сонда ғана бұл үдеріс екіжаққа да тиімді болады"", - деді ол."
Kazakh,1tv.kz,2012/01/17,Ишкашим елдімекенінде орын алған қар көшкіні салдарынан зардап шеккендер мен қаза тапқандар туралы мәлімет жоқ.
Kazakh,inform.kz,2011/12/09,Онда депутаттар «Индустриялық-инновациялық қызметті мемлекеттік қолдау туралы» заң жобасын талқылады.
Kazakh,egemen.kz,2008/11/29,Бұдан кейінгі сапар облыстың Теректі ауданында жалғасты. Аудан әкімдігінің мәжіліс залында өткізілген оқырмандармен кездесуді аудан әкімі Алексей Горобцов ашып басылымға қатысты ой түйінін былайша жеткізді.
Kazakh,egemen.kz,2012/01/28,Қазақстанда «Бизнестің жол картасы-2020» табысты жүзеге асырылуда.
Kazakh,egemen.kz,2010/01/11,"– Ертеңін алдын-ала ойлаған ел сол жаһандануға қарсы жүріп, батыл араласуы керек. Жаңа заманға, жаңа жағдайға барынша бейімделмей болмайды. Ол өзіңді-өзің жоғалтып алмау үшін әбден керек іс. Тіпті “осыны қайтсем де ұстап қалам” деп, бір тілге қатып қалу қажет емес."
Kazakh,kaz.gazeta.kz,2012/02/07,"Алматы облысында тұрғын үйдегі пәтерде газ баллоны жарылуы салдарынан зардап шеккендер бар,"
Kazakh,egemen.kz,2010/01/15,-экспортқа немесе импортқа сандық шектеулер қою;
Kazakh,egemen.kz,2011/09/22,Ал мына Арқалық қаласының қонақүйіндегі кездесу бөлек еді. Мен жан-тәніммен Ласло айтқан үзік-үзік ой дүниесін темір таспаға түсірдім. Енді сол темір таспа сөйлесін.
Kazakh,1tv.kz,2012/01/31,"Батыс Қазақстандағы дәрігерлердің жалақысы – 128 мың теңге, ал Маңғыстау облысында 94 мың теңгені құрады. Еліміз бойынша жоғары оқу орындары тәлімгерлерінің еңбекақысының орташа көлемі – 77 мың теңгеге жуық."
Kazakh,egemen.kz,2011/12/24,Кеше Астанада «Демократиялық институты» ғылыми-зерттеу қауымдастығы қоғамдық бірлестігі 17-19 желтоқсан күндері Парламент Мәжілісі сайлауына арналған қоғамдық пікірге осымен екінші рет әлеуметтанулық зерттеу жүргізгендерін мәлім етті.
Kazakh,egemen.kz,2010/03/20,— Ілекеңді екеуміз бас салып сүйелік.
Kazakh,egemen.kz,2010/07/28,"Осы жылдарда ол өзінің консерваторияда жаза бастаған “Қамар сұлу” операсын аяқтайды. 1963 жылы Абай атындағы опера және балет театрының сахнасында тұңғыш қойылған, Қамар рөлін КСРО халық әртісі Роза Жаманова, Ахметтің рөлін республикамыздың халық әртісі Байғали Досымжанов ойнаған бұл шығарма өнер сүйер қауымға да, театр сыншыларына да бірден ұнады. “Операның музыкасы сезімді қозғайтын қуатты күшімен, нәзік лиризмімен, кейіпкерлерінің жан дүниесін шыншылдықпен ашып көрсете білуімен баурайды”, деп жазды кейінірек ол туралы Еркеғалидың өнердегі талантты әріптесі Ғазиза Жұбанова. Опера арада бірер жыл өткенде Мәскеудегі Кремль театрының сахнасына қойылып, онда да жоғары баға алды. Содан бері жарты ғасырға жуық уақыт өтсе де бұл шығарманың театрларымыздың репертуарынан берік орын алып, сахнадан түспей келе жатқаны – оның төл өнерімізге қосылған сәтті туынды екенін айғақтап тұрғандай."
Kazakh,inform.kz,2011/10/27,"«Бірыңғай еуро-азиялық қоғамдастық қалыптастыру аясында Қырғызстан, Тәжікстан және Кеден одағының үш мемлекеті бірыңғай экономикалық заңдар бойынша жұмыс істейтін қуатты ықпалдастық блогын құра алады», - деді В.Чернов."
Kazakh,egemen.kz,2009/10/30,"Алайда, арада апта араламай жатып-ақ ауылдарын аңсады. Күрсінгенде, көкіректері қарс айырылатындай. Жанарлары жасқа толады-ай. Екеуі күн сайын кешке қарай теміржол вокзалына барады. Шымкентке қарай жүретін пойыздарды қимай-қимай шығарып салады. Сағыныштарын солай басатын. Ақырында сол пойыздардың бірімен қашты да кетті. Ауыл шаруашылығы институтынан. Алматыдан. Ауылға. Қызыләскерге. Астанадағы нағашылары да, ауылдағылар да “қашқын” деп атап жүрді. Бір жыл бойы."
Kazakh,zhasalash.kz,2011/03/04,"Қасымды өрттен шықты алып,"
Kazakh,egemen.kz,2010/03/10,"Біз сәулетші өмірін, сәулет әлемін әңгіме етудеміз. Әңгіме арқауы бір азаматымыздың жемісті еңбегі туралы болып отыр. Бірақ, бұдан сәулет өнерінің жолы, сәулетшінің өмірі жеңіл екен деген пікір тумаса керек. Бұл да қиыншылығы мен қайшылығы көп, әрбір жемісі табанды күреспен ғана келетін сала. Шет елден келгендердің осы саланың ұлттық болмысына тигізген теріс әсері де аз емес. Осы мәселе және бұдан басқа да сәулетшілерді қобалжытатын жағдайлар бар. “Жарты ғасырға жуық құрылыстың қақ ортасында жүріп, көпті көрген, көп тәжірибе жинаған маман ретінде мені бүгінгі Қазақстан аумағындағы қалалардың жай-күйі толғантады, алаңдатады. Кеңес кезінде республикада қаншама қалалар салынды десеңізші: Кентау, Қаратау, Арқалық, Жаңатас, Қапшағай, Жаңаөзен, т.б. Солардың кейбіреуінің (тіпті көбінің) бүгінде мәні де, сәні де кетіп бара жатқаны жанға батады. Арқалықтағы небір зәулім ғимараттар қаңырап бос қалып, құрылыс материалдары ұстағанның қолында, тістегеннің аузында кетіп жатыр дегенді естігенде төбе шашың тік тұрады. Ал талапайға түсіп жатқан қалалар жалғыз Арқалық емес, басқа өңірлерде де бар. Көз алдымызда қараусыз қалып, азып-тозып бара жатқан сол қалалар Ай мен Күннің аманында сонау ықылым замандарда құм жұтқан қалалардың кебін киюі керек пе?” деп қынжылады Тәтіғұлов."
Kazakh,kaz.gazeta.kz,2012/02/14,"""Онда біз адамдарды табыстарын жасыруға мәжбүрлейміз. Қазақстанда салық салудың прогрессивті мөлшерлемесі болған кезде, бір жалақы бірнеше адамға ресімделген болатын. Одан ешқандай пайда болмады, тек формализм көбейді, реалды түрде ешкім табысын көрсетпеді"", деді А.Перуашев журналистерге Астанада осыған қатысты сауалға жауап берген кезінде."
Kazakh,kaz.gazeta.kz,2012/03/14,"«Жауынгерлік даңқ» кітабының авторы. П.Мальковтің «Москва Кремлі комендантының жазбалары», Ф.Селивановтың «Панфиловшыларын» қазақ тіліне аударған."
Kazakh,inform.kz,2009/10/09,"Үлкен жобаның мақсаты - елді жаңа индустрияландыру - ол көптен пісіп жетілген болатын. Мұндай стратегиялық бағыт бұрынғы КСРО елдеріне көптеген күткен технололгиялық секіріс жасауға мүмкіндік береді, жаңа жұмыс орындарын құрады, ең ақырында, экономиканы шикізатқа тәуелділік қаупінен құтқарады."
Kazakh,egemen.kz,2010/06/23,"Сейіттің ғалымдық басты бір ерекшелігі – ол екі тілде бірдей жазады: мейлі қазақ тілінде жазсын, мейлі орыс тілінде жазсын, оның еңбектерінің негізгі нысаны – ұлттық фольклортану, әдебиеттану және өнертану мәселелері, ұлттық, халықтық мұраттар. Соңғы жылдары жазған еңбектерінде ол зерттеу объектісін бірсыпыра кеңітіп, Махамбет, Абай, Жамбыл туралы жаңа, соны ойларымен көзге түсті, қазақ сөз өнерін фольклор, авторлық ауыз әдебиеті және жазба әдебиет деп зерттеу қажеттігі туралы жаңа пікірлер ұсынды."
Kazakh,1tv.kz,2011/12/14,"Үкіметтің баспасөз қызметінің ақпаратына сәйкес, қол қою рәсімі еліміздің Премьер-министрі Кәрім Мәсімовтің қатысуымен өтеді."
Kazakh,1tv.kz,2012/01/24,Қазақстандық шоу-бизнестің тартымды әншісі 5 жасар Риана есімді қызына кішкентай періште сыйлады.
Kazakh,egemen.kz,2012/03/07,1-қосымша
Kazakh,1tv.kz,2012/03/27,"Екіншіден, аксессуардың саны мен көлемі де – өте маңызды мәселе. Биыл көлемі үлкен сақина-сырғалар тағы сәнді болмақ. Бірақ көлемді сақина немесе алқа тағатын болсаңыз, олардың санына көңіл бөліңіз. Яғни әшекейлерді үсті-үстіне іле беру дұрыс емес."
Kazakh,egemen.kz,2008/11/26,"Үкімет, сондай-ақ тұрғын үйге қолжетімділікті қамтамасыз ету бойынша шаралар қабылдайтын болады. Бұл үшін қолданыстағы тұрғын үй құрылысын дамыту бағдарламасына өзгерістер енгізіледі."
Kazakh,bnews.kz,2010/07/12,Сурет refrns.ru сайтынан алынды
Kazakh,egemen.kz,2011/08/27,2) қабылдау-тарату орнының әкімшілігі мен қызметкерлері үшін кабинеттер;
